term	expansion_order	harmonic	observable_status	absorption_target	notes
baseline_kinetic_secular	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	integrated residual: E secular; absorbed coordinate-time trend	absorbed	spin phase / spin frequency	Baseline special-relativistic clock term on the GR carrier. d_tau_dE=-G*m_B**2*(e*cos(E) + 1)/(2*M*a*c**2*n); absorbed_slope=-G*m_B**2/(2*M*a*c**2)
baseline_kinetic_einstein_sinE	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	periodic residual: sin(E) Einstein-delay basis	degenerate	Einstein delay gamma	periodic residual is proportional to the Einstein-delay sin(E) basis; residual=-G*e*m_B**2*sin(E)/(M*a*c**2*n); basis_coefficient=-G*e*m_B**2/(M*a*c**2*n)
baseline_potential_secular	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	integrated residual: E secular; absorbed coordinate-time trend	absorbed	spin phase / spin frequency	Baseline GR external-potential clock term. d_tau_dE=-G*m_B/(a*c**2*n); absorbed_slope=-G*m_B/(a*c**2)
baseline_potential_einstein_sinE	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	periodic residual: sin(E) Einstein-delay basis	degenerate	Einstein delay gamma	periodic residual is proportional to the Einstein-delay sin(E) basis; residual=-G*e*m_B*sin(E)/(a*c**2*n); basis_coefficient=-G*e*m_B/(a*c**2*n)
zeta1_sA_clock_secular	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	integrated residual: E secular; absorbed coordinate-time trend	absorbed	spin phase / spin frequency	Linear sensitivity correction in the decoupled clock sector. d_tau_dE=-G*m_B*s_A*zeta_1/(a*c**2*n); absorbed_slope=-G*m_B*s_A*zeta_1/(a*c**2)
zeta1_sA_clock_einstein_sinE	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	periodic residual: sin(E) Einstein-delay basis	degenerate	Einstein delay gamma	periodic residual is proportional to the Einstein-delay sin(E) basis; residual=-G*e*m_B*s_A*zeta_1*sin(E)/(a*c**2*n); basis_coefficient=-G*e*m_B*s_A*zeta_1/(a*c**2*n)
zeta2_sA2_clock_secular	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	integrated residual: E secular; absorbed coordinate-time trend	absorbed	spin phase / spin frequency	Quadratic sensitivity correction in the decoupled clock sector. d_tau_dE=-G*m_B*s_A**2*zeta_2/(a*c**2*n); absorbed_slope=-G*m_B*s_A**2*zeta_2/(a*c**2)
zeta2_sA2_clock_einstein_sinE	O(c^-2), Newtonian carrier orbit, exact in eccentricity e	periodic residual: sin(E) Einstein-delay basis	degenerate	Einstein delay gamma	periodic residual is proportional to the Einstein-delay sin(E) basis; residual=-G*e*m_B*s_A**2*zeta_2*sin(E)/(a*c**2*n); basis_coefficient=-G*e*m_B*s_A**2*zeta_2/(a*c**2*n)
