zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	7.710559406675067381e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	4.218324583390725877e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.277557403119489644e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.224393966765323518e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	6.615657747561580032e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	3.617880994233796275e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	2.005622743514974132e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.121702073439309284e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	6.270384805005064398e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	3.466586027885827049e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	1.878091395439245877e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	9.906605994520489520e-82
-4.000000000000000083e-02	-2.250000000000000056e-01	5.069474614103285377e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	2.514090992363804239e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.209685371482707443e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	5.664272954670323758e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	2.593160310987019202e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.167885672609115314e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	5.212044724060739200e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.322554796230720626e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	1.040502233145382593e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	4.708359559502396946e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	2.155303311169399706e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	9.964459099105309014e-74
-4.000000000000000083e-02	-2.000000000000000111e-01	4.635559848344272055e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.161010445726569994e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	1.006307896983950426e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	4.673333133887054711e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.163922529249075209e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	9.992779372570047411e-70
-4.000000000000000083e-02	-1.875000000000000000e-01	4.600410269942004952e-69
-4.000000000000000083e-02	-1.854166666666666741e-01	2.107468030909842561e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	9.572481203678147285e-68
-4.000000000000000083e-02	-1.812499999999999944e-01	4.290232365727671720e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	1.887213220028650651e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	8.107204331413021205e-66
-4.000000000000000083e-02	-1.749999999999999889e-01	3.387012667408126884e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	1.371826529860810512e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	5.375501897065652360e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	2.035613449161192196e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	7.447568790374333643e-63
-4.000000000000000083e-02	-1.645833333333333315e-01	2.633859291269104176e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	9.014939630997423536e-62
-4.000000000000000083e-02	-1.604166666666666519e-01	2.992260799481433411e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	9.660178433072121940e-61
-4.000000000000000083e-02	-1.562500000000000000e-01	3.046007978775961450e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	9.435061531806868410e-60
-4.000000000000000083e-02	-1.520833333333333481e-01	2.893390816126868871e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	8.872420841895405853e-59
-4.000000000000000083e-02	-1.479166666666666685e-01	2.752120593671668068e-58
-4.000000000000000083e-02	-1.458333333333333148e-01	8.733817812935659143e-58
-4.000000000000000083e-02	-1.437499999999999889e-01	2.858875644561247661e-57
-4.000000000000000083e-02	-1.416666666666666630e-01	9.674033143392616916e-57
-4.000000000000000083e-02	-1.395833333333333370e-01	3.369095202914397966e-56
-4.000000000000000083e-02	-1.375000000000000111e-01	1.196391513881316574e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	4.283668364954612592e-55
-4.000000000000000083e-02	-1.333333333333333315e-01	1.529893521596879269e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	5.400326866685757671e-54
-4.000000000000000083e-02	-1.291666666666666519e-01	1.870288459339772565e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	6.319990403613526664e-53
-4.000000000000000083e-02	-1.250000000000000000e-01	2.075756206179224876e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	6.612913531427851028e-52
-4.000000000000000083e-02	-1.208333333333333481e-01	2.043311865412078707e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	6.137232002456457702e-51
-4.000000000000000083e-02	-1.166666666666666685e-01	1.800578255146542841e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	5.198903894620077521e-50
-4.000000000000000083e-02	-1.124999999999999889e-01	1.491444576347624324e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	4.293044171138920780e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	1.249216733156694799e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	3.684683889332318191e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	1.098642579354868700e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	3.289385999867414370e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	9.811856221834173685e-47
-4.000000000000000083e-02	-9.791666666666667962e-02	2.895945312800021026e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	8.417846592385763811e-46
-4.000000000000000083e-02	-9.375000000000000000e-02	2.404186444007989763e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	6.744224021027717707e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	1.860116703830280256e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	5.053531073212361755e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.355309721434367959e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	3.595882800594494633e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	9.457025981581987211e-43
-4.000000000000000083e-02	-7.916666666666666297e-02	2.469851667441873932e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	6.416555985401416348e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	1.661029802198891098e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	4.291133705225679529e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.107664056734674557e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	2.858449386639774837e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	7.372488590910347296e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	1.898228303638877645e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	4.869784697518539393e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.241906078207083698e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	3.140711576711681679e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	7.858400846459979298e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	1.941559756952029915e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	4.729306630817295769e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.134451163572338144e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	2.678073821237670873e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	6.220266324489938280e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.421813168271588537e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.200574119983869005e-35
-4.000000000000000083e-02	-3.958333333333333148e-02	7.104040209859004498e-35
-4.000000000000000083e-02	-3.750000000000000555e-02	1.557768677863548203e-34
-4.000000000000000083e-02	-3.541666666666667962e-02	3.383844565401748133e-34
-4.000000000000000083e-02	-3.333333333333332593e-02	7.309040434137126417e-34
-4.000000000000000083e-02	-3.125000000000000000e-02	1.577514859549173895e-33
-4.000000000000000083e-02	-2.916666666666667407e-02	3.422122375751342877e-33
-4.000000000000000083e-02	-2.708333333333334814e-02	7.508317347781411947e-33
-4.000000000000000083e-02	-2.499999999999999445e-02	1.675398202685067431e-32
-4.000000000000000083e-02	-2.291666666666666852e-02	3.815063713094050461e-32
-4.000000000000000083e-02	-2.083333333333334259e-02	8.866801188347773853e-32
-4.000000000000000083e-02	-1.875000000000001665e-02	2.096476716558447356e-31
-4.000000000000000083e-02	-1.666666666666666297e-02	5.013194164375810946e-31
-4.000000000000000083e-02	-1.458333333333333703e-02	1.203839005289163017e-30
-4.000000000000000083e-02	-1.250000000000001110e-02	2.883068100069262601e-30
-4.000000000000000083e-02	-1.041666666666665741e-02	6.846213017048846118e-30
-4.000000000000000083e-02	-8.333333333333331483e-03	1.605079799286960806e-29
-4.000000000000000083e-02	-6.250000000000005551e-03	3.705533492002049786e-29
-4.000000000000000083e-02	-4.166666666666679619e-03	8.415075572572714624e-29
-4.000000000000000083e-02	-2.083333333333325932e-03	1.880523315924646879e-28
-4.000000000000000083e-02	0.000000000000000000e+00	4.141619835665001919e-28
-4.000000000000000083e-02	2.083333333333325932e-03	9.009735122047762614e-28
-4.000000000000000083e-02	4.166666666666651864e-03	1.940759469221755830e-27
-4.000000000000000083e-02	6.249999999999977796e-03	4.148037230604022233e-27
-4.000000000000000083e-02	8.333333333333303727e-03	8.806823924487695024e-27
-4.000000000000000083e-02	1.041666666666668517e-02	1.857316432844132804e-26
-4.000000000000000083e-02	1.250000000000001110e-02	3.886477027402654590e-26
-4.000000000000000083e-02	1.458333333333333703e-02	8.054478873959563542e-26
-4.000000000000000083e-02	1.666666666666666297e-02	1.649853547812956937e-25
-4.000000000000000083e-02	1.874999999999998890e-02	3.334196660276387624e-25
-4.000000000000000083e-02	2.083333333333331483e-02	6.639003958876319153e-25
-4.000000000000000083e-02	2.291666666666664076e-02	1.301609862566581251e-24
-4.000000000000000083e-02	2.500000000000002220e-02	2.512552236767275295e-24
-4.000000000000000083e-02	2.708333333333334814e-02	4.778576730716002304e-24
-4.000000000000000083e-02	2.916666666666667407e-02	8.967200683718094815e-24
-4.000000000000000083e-02	3.125000000000000000e-02	1.664170208307572851e-23
-4.000000000000000083e-02	3.333333333333332593e-02	3.064462671454643806e-23
-4.000000000000000083e-02	3.541666666666665186e-02	5.623061234797297214e-23
-4.000000000000000083e-02	3.749999999999997780e-02	1.033189569688898852e-22
-4.000000000000000083e-02	3.958333333333330373e-02	1.910253944251930785e-22
-4.000000000000000083e-02	4.166666666666668517e-02	3.567753549234857643e-22
-4.000000000000000083e-02	4.375000000000001110e-02	6.744717174525024341e-22
-4.000000000000000083e-02	4.583333333333333703e-02	1.290293598565414712e-21
-4.000000000000000083e-02	4.791666666666666297e-02	2.492575632283669531e-21
-4.000000000000000083e-02	4.999999999999998890e-02	4.847756599472929320e-21
-4.000000000000000083e-02	5.208333333333331483e-02	9.465872088887228670e-21
-4.000000000000000083e-02	5.416666666666664076e-02	1.852334546970506751e-20
-4.000000000000000083e-02	5.625000000000002220e-02	3.629966540721801187e-20
-4.000000000000000083e-02	5.833333333333334814e-02	7.123212038018067928e-20
-4.000000000000000083e-02	6.041666666666667407e-02	1.399410929841097477e-19
-4.000000000000000083e-02	6.250000000000000000e-02	2.749347720931961182e-19
-4.000000000000000083e-02	6.458333333333332593e-02	5.388832892968103343e-19
-4.000000000000000083e-02	6.666666666666665186e-02	1.050059148851398041e-18
-4.000000000000000083e-02	6.874999999999997780e-02	2.025851192025481223e-18
-4.000000000000000083e-02	7.083333333333330373e-02	3.854303579256537947e-18
-4.000000000000000083e-02	7.291666666666668517e-02	7.207836219963126393e-18
-4.000000000000000083e-02	7.500000000000001110e-02	1.321980907049705070e-17
-4.000000000000000083e-02	7.708333333333333703e-02	2.375554074202545537e-17
-4.000000000000000083e-02	7.916666666666666297e-02	4.182719573685832508e-17
-4.000000000000000083e-02	8.124999999999998890e-02	7.222613756074801880e-17
-4.000000000000000083e-02	8.333333333333331483e-02	1.224669989897509703e-16
-4.000000000000000083e-02	8.541666666666664076e-02	2.041274856399840282e-16
-4.000000000000000083e-02	8.750000000000002220e-02	3.345798198082887926e-16
-4.000000000000000083e-02	8.958333333333334814e-02	5.388929441698671037e-16
-4.000000000000000083e-02	9.166666666666667407e-02	8.513271548157368742e-16
-4.000000000000000083e-02	9.375000000000000000e-02	1.315431505011209007e-15
-4.000000000000000083e-02	9.583333333333332593e-02	1.981512575902699901e-15
-4.000000000000000083e-02	9.791666666666665186e-02	2.900488591330840474e-15
-4.000000000000000083e-02	9.999999999999997780e-02	4.114129597186644068e-15
-4.000000000000000083e-02	1.020833333333333037e-01	5.643378760450101190e-15
-4.000000000000000083e-02	1.041666666666666852e-01	7.478390622477642802e-15
-4.000000000000000083e-02	1.062500000000000111e-01	9.575366302252581176e-15
-4.000000000000000083e-02	1.083333333333333370e-01	1.186572828339520364e-14
-4.000000000000000083e-02	1.104166666666666630e-01	1.428325225170845491e-14
-4.000000000000000083e-02	1.124999999999999889e-01	1.681688747004375483e-14
-4.000000000000000083e-02	1.145833333333333148e-01	1.960571076745802066e-14
-4.000000000000000083e-02	1.166666666666666408e-01	2.311417326257896779e-14
-4.000000000000000083e-02	1.187500000000000222e-01	2.846810225794679864e-14
-4.000000000000000083e-02	1.208333333333333481e-01	3.810286081547172611e-14
-4.000000000000000083e-02	1.229166666666666741e-01	5.698197012688263395e-14
-4.000000000000000083e-02	1.250000000000000000e-01	9.479080016047129738e-14
-4.000000000000000083e-02	1.270833333333333259e-01	1.696879567524738908e-13
-4.000000000000000083e-02	1.291666666666666519e-01	3.143767799211214507e-13
-4.000000000000000083e-02	1.312499999999999778e-01	5.853810384727956709e-13
-4.000000000000000083e-02	1.333333333333333037e-01	1.076400507541688396e-12
-4.000000000000000083e-02	1.354166666666666852e-01	1.936484514390468000e-12
-4.000000000000000083e-02	1.375000000000000111e-01	3.393775215100234347e-12
-4.000000000000000083e-02	1.395833333333333370e-01	5.786662643206702699e-12
-4.000000000000000083e-02	1.416666666666666630e-01	9.608407838163252049e-12
-4.000000000000000083e-02	1.437499999999999889e-01	1.558218097008197738e-11
-4.000000000000000083e-02	1.458333333333333148e-01	2.480598653568457102e-11
-4.000000000000000083e-02	1.479166666666666408e-01	3.904645502991493430e-11
-4.000000000000000083e-02	1.500000000000000222e-01	6.132062910768018386e-11
-4.000000000000000083e-02	1.520833333333333481e-01	9.698504912111575706e-11
-4.000000000000000083e-02	1.541666666666666741e-01	1.556450104968752724e-10
-4.000000000000000083e-02	1.562500000000000000e-01	2.542916243109407227e-10
-4.000000000000000083e-02	1.583333333333333259e-01	4.221550194844659520e-10
-4.000000000000000083e-02	1.604166666666666519e-01	7.078118943934441973e-10
-4.000000000000000083e-02	1.624999999999999778e-01	1.189081964581416168e-09
-4.000000000000000083e-02	1.645833333333333037e-01	1.986150935367366564e-09
-4.000000000000000083e-02	1.666666666666666852e-01	3.278104972949197180e-09
-4.000000000000000083e-02	1.687500000000000111e-01	5.322597799677846162e-09
-4.000000000000000083e-02	1.708333333333333370e-01	8.477748433301281389e-09
-4.000000000000000083e-02	1.729166666666666630e-01	1.322491390491340319e-08
-4.000000000000000083e-02	1.749999999999999889e-01	2.019144119420291342e-08
-4.000000000000000083e-02	1.770833333333333148e-01	3.017491296589747344e-08
-4.000000000000000083e-02	1.791666666666666408e-01	4.417542356102737837e-08
-4.000000000000000083e-02	1.812499999999999667e-01	6.344904592140374270e-08
-4.000000000000000083e-02	1.833333333333333481e-01	8.959977863329709728e-08
-4.000000000000000083e-02	1.854166666666666741e-01	1.247214720728873841e-07
-4.000000000000000083e-02	1.875000000000000000e-01	1.715774525895194467e-07
-4.000000000000000083e-02	1.895833333333333259e-01	2.337615205397488012e-07
-4.000000000000000083e-02	1.916666666666666519e-01	3.157315344836819533e-07
-4.000000000000000083e-02	1.937499999999999778e-01	4.225763136111657527e-07
-4.000000000000000083e-02	1.958333333333333037e-01	5.594098282072365260e-07
-4.000000000000000083e-02	1.979166666666666852e-01	7.304137830187417143e-07
-4.000000000000000083e-02	2.000000000000000111e-01	9.377582199716783972e-07
-4.000000000000000083e-02	2.020833333333333370e-01	1.180845964774781950e-06
-4.000000000000000083e-02	2.041666666666666630e-01	1.456433190801861160e-06
-4.000000000000000083e-02	2.062499999999999889e-01	1.760071510700671036e-06
-4.000000000000000083e-02	2.083333333333333148e-01	2.088975066787596861e-06
-4.000000000000000083e-02	2.104166666666666408e-01	2.445927927369661626e-06
-4.000000000000000083e-02	2.124999999999999667e-01	2.843373741033768763e-06
-4.000000000000000083e-02	2.145833333333333481e-01	3.306523872695513796e-06
-4.000000000000000083e-02	2.166666666666666741e-01	3.874266930997967876e-06
-4.000000000000000083e-02	2.187500000000000000e-01	4.596880782230925683e-06
-4.000000000000000083e-02	2.208333333333333259e-01	5.530033329289308848e-06
-4.000000000000000083e-02	2.229166666666666519e-01	6.725300383471688954e-06
