source_label	source_file	crd_format_version	station_name	station_code	target_name	target_id	timestamp_utc	sec_of_day	time_of_flight_s	one_way_range_m	epoch_event	np_window_length_s	num_ranges	bin_rms_ps	bin_skew	bin_kurtosis	bin_pmm_ps	return_rate_hz	detector_channel	signal_to_noise	pressure_mbar	temperature_k	humidity_pct
mlrs_public_lunar_sample	s25y11d016t0231#103.npt	1	MDOL	7080	apollo15	103	2011-01-16T02:48:36.445646Z	10116.44564636956	2.516121436078	377157114.97415674	2	1840.7	12	480.2	-0.297	-1.613	-1988.1	0.3	0		798.63	278.26	46.0
mlrs_public_lunar_sample	s25y11d042t0234#103.npt	1	MDOL	7080	apollo15	103	2011-02-11T02:55:17.382463Z	10517.382463431954	2.598984146809	389577922.83745146	2	1490.5	9	328.4	0.64	-0.929	-2499.5	3.15	0		797.27	272.56	44.0
