name	status	detail
rosetta runtime	pass	arch -x86_64 /usr/bin/true exit code = 0.
x86 Homebrew prefix	warn	/usr/local Homebrew present = False.
x86 gfortran toolchain	warn	Detected /usr/local/bin gfortran paths = none.
x86 gcc toolchain	warn	Detected /usr/local/bin gcc paths = none.
container/VM runtime	warn	Detected runtime paths = docker:none, podman:none, colima:none, lima:none, nerdctl:none, orb:none
