lambda	alpha	uniform_radius_ratio	uniform_density_ratio	uniform_Pc_ratio	uniform_absEg_ratio	uniform_Pi_ratio	n1_radius_ratio	n1_rho_c_ratio	n1_Pc_ratio	n1_absEg_ratio	n1_Pi_ratio
0.450451	5.495491e-01	1.000000e+00	1.000000e+00	5.495491e-01	5.495491e-01	5.495491e-01	1.348953e+00	4.073894e-01	1.659661e-01	4.073894e-01	4.073894e-01
0.452453	5.475471e-01	1.000000e+00	1.000000e+00	5.475471e-01	5.475471e-01	5.475471e-01	1.351417e+00	4.051653e-01	1.641589e-01	4.051653e-01	4.051653e-01
0.454455	5.455451e-01	1.000000e+00	1.000000e+00	5.455451e-01	5.455451e-01	5.455451e-01	1.353894e+00	4.029452e-01	1.623648e-01	4.029452e-01	4.029452e-01
0.456457	5.435431e-01	1.000000e+00	1.000000e+00	5.435431e-01	5.435431e-01	5.435431e-01	1.356385e+00	4.007292e-01	1.605839e-01	4.007292e-01	4.007292e-01
0.458459	5.415411e-01	1.000000e+00	1.000000e+00	5.415411e-01	5.415411e-01	5.415411e-01	1.358890e+00	3.985172e-01	1.588160e-01	3.985172e-01	3.985172e-01
0.460461	5.395391e-01	1.000000e+00	1.000000e+00	5.395391e-01	5.395391e-01	5.395391e-01	1.361409e+00	3.963094e-01	1.570611e-01	3.963094e-01	3.963094e-01
0.462463	5.375371e-01	1.000000e+00	1.000000e+00	5.375371e-01	5.375371e-01	5.375371e-01	1.363942e+00	3.941056e-01	1.553192e-01	3.941056e-01	3.941056e-01
0.464465	5.355351e-01	1.000000e+00	1.000000e+00	5.355351e-01	5.355351e-01	5.355351e-01	1.366489e+00	3.919060e-01	1.535903e-01	3.919060e-01	3.919060e-01
0.466467	5.335331e-01	1.000000e+00	1.000000e+00	5.335331e-01	5.335331e-01	5.335331e-01	1.369050e+00	3.897104e-01	1.518742e-01	3.897104e-01	3.897104e-01
0.468469	5.315311e-01	1.000000e+00	1.000000e+00	5.315311e-01	5.315311e-01	5.315311e-01	1.371626e+00	3.875190e-01	1.501710e-01	3.875190e-01	3.875190e-01
0.470471	5.295291e-01	1.000000e+00	1.000000e+00	5.295291e-01	5.295291e-01	5.295291e-01	1.374216e+00	3.853317e-01	1.484805e-01	3.853317e-01	3.853317e-01
0.472473	5.275271e-01	1.000000e+00	1.000000e+00	5.275271e-01	5.275271e-01	5.275271e-01	1.376821e+00	3.831485e-01	1.468028e-01	3.831485e-01	3.831485e-01
0.474475	5.255251e-01	1.000000e+00	1.000000e+00	5.255251e-01	5.255251e-01	5.255251e-01	1.379442e+00	3.809694e-01	1.451377e-01	3.809694e-01	3.809694e-01
0.476477	5.235230e-01	1.000000e+00	1.000000e+00	5.235230e-01	5.235230e-01	5.235230e-01	1.382077e+00	3.787945e-01	1.434853e-01	3.787945e-01	3.787945e-01
0.478479	5.215210e-01	1.000000e+00	1.000000e+00	5.215210e-01	5.215210e-01	5.215210e-01	1.384727e+00	3.766238e-01	1.418455e-01	3.766238e-01	3.766238e-01
0.480481	5.195190e-01	1.000000e+00	1.000000e+00	5.195190e-01	5.195190e-01	5.195190e-01	1.387392e+00	3.744572e-01	1.402182e-01	3.744572e-01	3.744572e-01
0.482483	5.175170e-01	1.000000e+00	1.000000e+00	5.175170e-01	5.175170e-01	5.175170e-01	1.390073e+00	3.722948e-01	1.386034e-01	3.722948e-01	3.722948e-01
0.484485	5.155150e-01	1.000000e+00	1.000000e+00	5.155150e-01	5.155150e-01	5.155150e-01	1.392770e+00	3.701366e-01	1.370011e-01	3.701366e-01	3.701366e-01
0.486487	5.135130e-01	1.000000e+00	1.000000e+00	5.135130e-01	5.135130e-01	5.135130e-01	1.395482e+00	3.679825e-01	1.354111e-01	3.679825e-01	3.679825e-01
0.488489	5.115110e-01	1.000000e+00	1.000000e+00	5.115110e-01	5.115110e-01	5.115110e-01	1.398210e+00	3.658327e-01	1.338335e-01	3.658327e-01	3.658327e-01
0.490491	5.095090e-01	1.000000e+00	1.000000e+00	5.095090e-01	5.095090e-01	5.095090e-01	1.400955e+00	3.636870e-01	1.322683e-01	3.636870e-01	3.636870e-01
0.492493	5.075070e-01	1.000000e+00	1.000000e+00	5.075070e-01	5.075070e-01	5.075070e-01	1.403715e+00	3.615456e-01	1.307152e-01	3.615456e-01	3.615456e-01
0.494495	5.055050e-01	1.000000e+00	1.000000e+00	5.055050e-01	5.055050e-01	5.055050e-01	1.406492e+00	3.594084e-01	1.291744e-01	3.594084e-01	3.594084e-01
0.496497	5.035030e-01	1.000000e+00	1.000000e+00	5.035030e-01	5.035030e-01	5.035030e-01	1.409285e+00	3.572754e-01	1.276457e-01	3.572754e-01	3.572754e-01
0.498499	5.015010e-01	1.000000e+00	1.000000e+00	5.015010e-01	5.015010e-01	5.015010e-01	1.412096e+00	3.551466e-01	1.261291e-01	3.551466e-01	3.551466e-01
0.500501	4.994990e-01	1.000000e+00	1.000000e+00	4.994990e-01	4.994990e-01	4.994990e-01	1.414923e+00	3.530221e-01	1.246246e-01	3.530221e-01	3.530221e-01
0.502503	4.974970e-01	1.000000e+00	1.000000e+00	4.974970e-01	4.974970e-01	4.974970e-01	1.417767e+00	3.509019e-01	1.231321e-01	3.509019e-01	3.509019e-01
0.504505	4.954950e-01	1.000000e+00	1.000000e+00	4.954950e-01	4.954950e-01	4.954950e-01	1.420628e+00	3.487859e-01	1.216516e-01	3.487859e-01	3.487859e-01
0.506507	4.934930e-01	1.000000e+00	1.000000e+00	4.934930e-01	4.934930e-01	4.934930e-01	1.423507e+00	3.466742e-01	1.201830e-01	3.466742e-01	3.466742e-01
0.508509	4.914910e-01	1.000000e+00	1.000000e+00	4.914910e-01	4.914910e-01	4.914910e-01	1.426403e+00	3.445667e-01	1.187262e-01	3.445667e-01	3.445667e-01
0.510511	4.894890e-01	1.000000e+00	1.000000e+00	4.894890e-01	4.894890e-01	4.894890e-01	1.429317e+00	3.424636e-01	1.172813e-01	3.424636e-01	3.424636e-01
0.512513	4.874870e-01	1.000000e+00	1.000000e+00	4.874870e-01	4.874870e-01	4.874870e-01	1.432249e+00	3.403647e-01	1.158481e-01	3.403647e-01	3.403647e-01
0.514515	4.854850e-01	1.000000e+00	1.000000e+00	4.854850e-01	4.854850e-01	4.854850e-01	1.435199e+00	3.382702e-01	1.144267e-01	3.382702e-01	3.382702e-01
0.516517	4.834830e-01	1.000000e+00	1.000000e+00	4.834830e-01	4.834830e-01	4.834830e-01	1.438167e+00	3.361799e-01	1.130169e-01	3.361799e-01	3.361799e-01
