filename	target	yyyymm	dominant_station	row_count	fr2_url	fr2_sha256	monthly_h4_count	split_pass_count	chosen_pass_filename	chosen_pass_h2	chosen_pass_h3	chosen_pass_c0	v1_h2	v1_h3	normalized_c0	recalc_passed	poisson_passed	frfil_has_93	frfil_has_30	frfil_has_12	error_signature	note
apollo15_202503.np2	apollo15	202503	WETL	123	https://edc.dgfi.tum.de/pub/slr/data/fr_crd_v2/apollo15/2025/apollo15_202503.fr2	5da61d4dea556611bc278353f4660f0a77f50676796f9583f4e78d9b083dfea2	60	60	8834_apollo15_crd_250306_1600_0.frd	h2 WETL       8834 10  1  4	h3 apollo15    0000103  103 -10000000 0 1	c0 0 1064.000 std4 las1 det4 tim0 na na met0 na	h2 WETL       8834 10  1  4	h3 apollo15    0000103  103 -10000000 0 1	c0 0 1064.000 std4 las1 det4 tim0 met0	True	False	0	0	0	Poisson Failed.	recalc passed but no 93 stream reached Poisson
luna21_202506.np2	luna21	202506	GRSM	9	https://edc.dgfi.tum.de/pub/slr/data/fr_crd_v2/luna21/2025/luna21_202506.fr2	339a64152aa24a3efc2f61714d620bfe0e8ad76b299f8cd2812202f3a81b0785	0	0								False	False	0	0	0	invalid_fullrate_payload	public fr2 URL did not return a CRD payload
apollo15_202511.np2	apollo15	202511	APOL	32	https://edc.dgfi.tum.de/pub/slr/data/fr_crd_v2/apollo15/2025/apollo15_202511.fr2	e8a0ffab1231e1d349e237bf55886cf45718974e4c097f7df5ab022f990bc475	6	6	7941_apollo15_crd_251113_0304_0.frd	h2 MATM       7941 77  1  4	h3 apollo15    0000103  103 -10000000 0 2	c0 0 532.000 std1 ml1 mcp mt1 met	h2 MATM       7941 77  1  4	h3 apollo15    0000103  103 -10000000 0 2	c0 0 532.000 std1 ml1 mcp mt1 met	True	False	0	16	0	Poisson Failed.	recalc passed but no 93 stream reached Poisson
luna17_202502.np2	luna17	202502	GRSM	51	https://edc.dgfi.tum.de/pub/slr/data/fr_crd_v2/luna17/2025/luna17_202502.fr2	4526953bf31c576d76dc54d804a1f59077e03249645bfb387457420c7543a21e	0	0								False	False	0	0	0	invalid_fullrate_payload	public fr2 URL did not return a CRD payload
apollo15_202502.np2	apollo15	202502	GRSM	99	https://edc.dgfi.tum.de/pub/slr/data/fr_crd_v2/apollo15/2025/apollo15_202502.fr2	c63cc6219232868d7b463c2018d098b75ee023c9c821fda67a866127459e95ef	5	5	7941_apollo15_crd_250206_1949_0.frd	h2 MATM       7941 77  1  4	h3 apollo15    0000103  103 -10000000 0 2	c0 0 532.000 std1 ml1 mcp mt1 met	h2 MATM       7941 77  1  4	h3 apollo15    0000103  103 -10000000 0 2	c0 0 532.000 std1 ml1 mcp mt1 met	True	False	0	47	0	Poisson Failed.	recalc passed but no 93 stream reached Poisson
