rank	filename	target	yyyymm	dominant_station	row_count	station_count	dominant_station_fraction	station_mix	coverage_start_utc	coverage_stop_utc	median_num_ranges	median_bin_rms_ps	median_bin_pmm_ps	median_return_rate_hz	selection_reason
1	apollo15_202503.np2	apollo15	202503	WETL	123	3	0.487805	WETL:60,APOL:35,GRSM:28	2025-03-03T01:16:25Z	2025-03-27T10:34:06.890245Z	108.0	174.500		1.200000	greedy_diversity_over_combo_winners
2	luna21_202506.np2	luna21	202506	GRSM	9	1	1.000000	GRSM:9	2025-06-03T16:18:33.814775Z	2025-06-06T21:31:44.397123Z	37.0	187.300		0.600000	greedy_diversity_over_combo_winners
3	apollo15_202511.np2	apollo15	202511	APOL	32	2	0.812500	APOL:26,MATM:6	2025-11-01T06:33:00Z	2025-11-30T20:58:48.504000Z	151.5	316.150		0.350000	greedy_diversity_over_combo_winners
4	luna17_202502.np2	luna17	202502	GRSM	51	2	0.941176	GRSM:48,APOL:3	2025-02-01T01:41:25Z	2025-02-07T07:01:45Z	56.0	164.000		0.900000	greedy_diversity_over_combo_winners
5	apollo15_202502.np2	apollo15	202502	GRSM	99	3	0.747475	GRSM:74,APOL:20,MATM:5	2025-02-01T01:09:35Z	2025-02-22T13:26:20Z	71.0	159.700		1.000000	greedy_diversity_over_combo_winners
6	luna21_202502.np2	luna21	202502	WETL	71	3	0.577465	WETL:41,GRSM:28,APOL:2	2025-02-01T01:25:35Z	2025-02-07T06:44:20Z	92.0	183.000		2.300000	greedy_diversity_over_combo_winners
7	nglr1_202503.np2	nglr1	202503	APOL	11	2	0.818182	APOL:9,WETL:2	2025-03-04T17:32:32.631551Z	2025-03-23T12:34:45Z	32.0	141.100			greedy_diversity_over_combo_winners
8	apollo11_202502.np2	apollo11	202502	GRSM	45	2	0.933333	GRSM:42,APOL:3	2025-02-01T01:35:05Z	2025-02-07T06:51:05Z	70.0	148.300		1.200000	greedy_diversity_over_combo_winners
